Timestamp	Normalizacao	PCA	Treino%	Classificador	k	Distancia	Acc_Val	Acc_Test	Precision_Test	Recall_Test	F1_Test	Tempo_Treino_s	Tempo_Pred_s	Tempo_Total_s
20250608_164324	padrao	100	0.9	knn	1	manhattan	0.954	0.958	0.958	0.958	0.958	0.006224	7.844787	7.870691
20250608_164334	padrao	100	0.9	knn	1	chebyshev	0.947	0.948	0.948	0.948	0.948	0.006373	9.505750	9.532311
20250608_164335	padrao	100	0.9	knn	3	euclidean	0.960	0.959	0.959	0.959	0.959	0.006191	0.782323	0.807935
20250608_164343	padrao	100	0.9	knn	3	manhattan	0.957	0.960	0.960	0.960	0.960	0.006180	7.873163	7.898992
20250608_164352	padrao	100	0.9	knn	3	chebyshev	0.949	0.949	0.949	0.949	0.949	0.006187	9.354132	9.380057
20250608_164353	padrao	100	0.9	knn	5	euclidean	0.960	0.961	0.961	0.961	0.960	0.006171	0.783645	0.809189
20250608_164401	padrao	100	0.9	knn	5	manhattan	0.957	0.958	0.958	0.958	0.958	0.006289	7.861060	7.887108
20250608_164410	padrao	100	0.9	knn	5	chebyshev	0.947	0.950	0.950	0.950	0.950	0.006182	9.304911	9.330932
20250608_164411	padrao	100	0.9	knn	7	euclidean	0.957	0.960	0.960	0.960	0.960	0.006148	0.786718	0.812475
20250608_164419	padrao	100	0.9	knn	7	manhattan	0.956	0.954	0.954	0.954	0.954	0.006236	7.866285	7.892265
20250608_164428	padrao	100	0.9	knn	7	chebyshev	0.947	0.949	0.949	0.949	0.949	0.006201	9.322210	9.348216
20250608_164453	padrao	100	0.9	log			0.911	0.908	0.907	0.908	0.907	24.981988	0.001555	25.003204
20250608_164518	padrao	100	0.9	log			0.911	0.908	0.907	0.908	0.907	24.957534	0.001536	24.979480
20250608_164543	padrao	100	0.9	log			0.911	0.908	0.907	0.908	0.907	25.354576	0.001582	25.376671
20250608_164609	padrao	100	0.9	log			0.911	0.908	0.907	0.908	0.907	25.008518	0.001486	25.030328
20250608_164634	padrao	100	0.9	log			0.911	0.908	0.907	0.908	0.907	24.968486	0.001589	24.990427
20250608_164658	padrao	100	0.9	log			0.911	0.908	0.907	0.908	0.907	24.903668	0.001560	24.925528
20250608_164723	padrao	100	0.9	log			0.911	0.908	0.907	0.908	0.907	24.944651	0.001565	24.966730
20250608_164748	padrao	100	0.9	log			0.911	0.908	0.907	0.908	0.907	24.973074	0.001576	24.995006
20250608_164813	padrao	100	0.9	log			0.911	0.908	0.907	0.908	0.907	24.979156	0.001604	25.001495
20250608_164839	padrao	100	0.9	log			0.911	0.908	0.907	0.908	0.907	25.202964	0.001811	25.225481
20250608_164904	padrao	100	0.9	log			0.911	0.908	0.907	0.908	0.907	25.307256	0.001492	25.330619
20250608_164929	padrao	100	0.9	log			0.911	0.908	0.907	0.908	0.907	24.980370	0.001550	25.002421
20250608_164933	padrao	150	0.6	knn	1	euclidean	0.952	0.951	0.951	0.951	0.951	0.005699	2.882462	2.924455
20250608_165003	padrao	150	0.6	knn	1	manhattan	0.947	0.946	0.946	0.946	0.945	0.005262	30.020856	30.061578
20250608_165035	padrao	150	0.6	knn	1	chebyshev	0.940	0.936	0.936	0.936	0.936	0.005280	32.364715	32.405133
20250608_165038	padrao	150	0.6	knn	3	euclidean	0.955	0.954	0.954	0.954	0.953	0.005229	2.891188	2.930910
20250608_165108	padrao	150	0.6	knn	3	manhattan	0.946	0.947	0.947	0.947	0.947	0.005311	29.956352	29.996733
20250608_165141	padrao	150	0.6	knn	3	chebyshev	0.942	0.942	0.942	0.942	0.942	0.005279	32.357258	32.397622
20250608_165143	padrao	150	0.6	knn	5	euclidean	0.953	0.954	0.954	0.954	0.954	0.005299	2.868363	2.908603
20250608_165214	padrao	150	0.6	knn	5	manhattan	0.946	0.947	0.947	0.947	0.947	0.005322	29.985421	30.025835
20250608_165246	padrao	150	0.6	knn	5	chebyshev	0.943	0.940	0.940	0.940	0.940	0.005229	32.392529	32.432530
20250608_165249	padrao	150	0.6	knn	7	euclidean	0.951	0.953	0.953	0.953	0.953	0.005220	2.883021	2.922666
20250608_165319	padrao	150	0.6	knn	7	manhattan	0.944	0.945	0.945	0.945	0.944	0.005316	29.979516	30.020254
20250608_165351	padrao	150	0.6	knn	7	chebyshev	0.942	0.941	0.941	0.941	0.941	0.005251	32.322114	32.362115
20250608_165422	padrao	150	0.6	log			0.912	0.912	0.912	0.912	0.912	30.355458	0.007259	30.397686
20250608_165452	padrao	150	0.6	log			0.912	0.912	0.912	0.912	0.912	30.414688	0.007315	30.458191
20250608_165522	padrao	150	0.6	log			0.912	0.912	0.912	0.912	0.912	30.309769	0.007334	30.353398
20250608_165554	padrao	150	0.6	log			0.912	0.912	0.912	0.912	0.912	31.259280	0.008525	31.304685
20250608_165625	padrao	150	0.6	log			0.912	0.912	0.912	0.912	0.912	31.156680	0.007652	31.200778
20250608_165656	padrao	150	0.6	log			0.912	0.912	0.912	0.912	0.912	30.880487	0.007323	30.924429
20250608_165727	padrao	150	0.6	log			0.912	0.912	0.912	0.912	0.912	31.064028	0.007267	31.107453
20250608_165758	padrao	150	0.6	log			0.912	0.912	0.912	0.912	0.912	31.003168	0.007331	31.046418
20250608_165829	padrao	150	0.6	log			0.912	0.912	0.912	0.912	0.912	30.906421	0.007252	30.950888
20250608_165900	padrao	150	0.6	log			0.912	0.912	0.912	0.912	0.912	31.373105	0.007263	31.417967
20250608_165931	padrao	150	0.6	log			0.912	0.912	0.912	0.912	0.912	30.894804	0.007244	30.937682
20250608_170002	padrao	150	0.6	log			0.912	0.912	0.912	0.912	0.912	30.856208	0.007315	30.899324
20250608_170003	padrao	150	0.9	knn	1	euclidean	0.957	0.959	0.959	0.959	0.958	0.007486	1.194811	1.230978
20250608_170017	padrao	150	0.9	knn	1	manhattan	0.957	0.958	0.958	0.958	0.958	0.007375	13.743349	13.778769
20250608_170032	padrao	150	0.9	knn	1	chebyshev	0.946	0.948	0.948	0.948	0.948	0.007564	14.892968	14.928256
20250608_170033	padrao	150	0.9	knn	3	euclidean	0.957	0.958	0.958	0.958	0.958	0.007515	0.956269	0.991588
20250608_170047	padrao	150	0.9	knn	3	manhattan	0.954	0.951	0.951	0.951	0.951	0.007395	13.784142	13.819751
20250608_170102	padrao	150	0.9	knn	3	chebyshev	0.948	0.949	0.949	0.949	0.948	0.007590	14.707350	14.743340
20250608_170103	padrao	150	0.9	knn	5	euclidean	0.962	0.957	0.957	0.957	0.957	0.007615	1.070696	1.106343
20250608_170117	padrao	150	0.9	knn	5	manhattan	0.954	0.955	0.955	0.955	0.955	0.007484	14.323014	14.358664
20250608_170133	padrao	150	0.9	knn	5	chebyshev	0.945	0.948	0.948	0.948	0.948	0.007813	15.956795	16.005011
20250608_170135	padrao	150	0.9	knn	7	euclidean	0.957	0.957	0.957	0.957	0.957	0.009242	1.946085	1.990570
20250608_170152	padrao	150	0.9	knn	7	manhattan	0.952	0.951	0.951	0.951	0.950	0.009497	16.372139	16.414270
20250608_170207	padrao	150	0.9	knn	7	chebyshev	0.945	0.947	0.947	0.947	0.947	0.007731	15.587729	15.623907
20250608_170249	padrao	150	0.9	log			0.914	0.912	0.912	0.912	0.912	41.639577	0.002059	41.670886
20250608_170330	padrao	150	0.9	log			0.914	0.912	0.912	0.912	0.912	41.485298	0.002700	41.522063
20250608_170412	padrao	150	0.9	log			0.914	0.912	0.912	0.912	0.912	41.375386	0.003327	41.410390
20250608_170453	padrao	150	0.9	log			0.914	0.912	0.912	0.912	0.912	40.919579	0.002646	40.957510
20250608_170534	padrao	150	0.9	log			0.914	0.912	0.912	0.912	0.912	40.819623	0.002074	40.851201
20250608_170615	padrao	150	0.9	log			0.914	0.912	0.912	0.912	0.912	41.097739	0.002242	41.131302
20250608_170656	padrao	150	0.9	log			0.914	0.912	0.912	0.912	0.912	40.915068	0.002038	40.947114
20250608_170737	padrao	150	0.9	log			0.914	0.912	0.912	0.912	0.912	41.005614	0.002690	41.037647
20250608_170818	padrao	150	0.9	log			0.914	0.912	0.912	0.912	0.912	40.740779	0.002094	40.770810
20250608_170858	padrao	150	0.9	log			0.914	0.912	0.912	0.912	0.912	40.840887	0.002287	40.871571
20250608_170940	padrao	150	0.9	log			0.914	0.912	0.912	0.912	0.912	41.106428	0.001992	41.137570
20250608_171021	padrao	150	0.9	log			0.914	0.912	0.912	0.912	0.912	41.087648	0.002021	41.118213
20250608_171023	255	10	0.6	knn	1	euclidean	0.913	0.914	0.914	0.914	0.914	0.054249	1.911778	1.985389
20250608_171027	255	10	0.6	knn	1	manhattan	0.909	0.907	0.907	0.907	0.907	0.049451	4.266689	4.336445
20250608_171029	255	10	0.6	knn	1	chebyshev	0.903	0.906	0.907	0.906	0.906	0.049023	1.486156	1.555327
20250608_171032	255	10	0.6	knn	3	euclidean	0.924	0.925	0.925	0.925	0.925	0.051100	2.556120	2.626867
20250608_171037	255	10	0.6	knn	3	manhattan	0.921	0.921	0.921	0.921	0.921	0.050012	5.612804	5.682826
20250608_171039	255	10	0.6	knn	3	chebyshev	0.913	0.916	0.916	0.916	0.916	0.050655	1.790143	1.860879
20250608_171042	255	10	0.6	knn	5	euclidean	0.929	0.930	0.930	0.930	0.930	0.052187	2.664675	2.736444
